Time,Empty,Time,Quartz Only,Time,Paper Only,Time,Quartz+Paper
-10.0100025,0.172594,-2.6025673,0.196068,-9.4761357,0.150375,-2.0687005,0.273544
-9.9432358,0.0951226,-2.5358673,-0.105125,-9.409369,0.13723,-2.0020005,0.426559
-9.8765358,0.133189,-2.4691006,-0.0398865,-9.342669,0.115334,-1.9352338,0.296349
-9.8097691,0.106058,-2.4024006,-0.0260239,-9.2759023,0.0376816,-1.8685338,0.307091
-9.7430691,0.135708,-2.3356339,0.0144196,-9.2092023,2.14E-04,-1.8017671,0.328583
-9.6763024,0.0961971,-2.2689339,0.024498,-9.1424356,0.0315552,-1.7350671,0.33783
-9.6096024,0.0636385,-2.2021672,0.072052,-9.0757356,0.0323715,-1.6683004,0.199722
-9.5428357,0.101489,-2.1354672,-0.0561981,-9.0089689,-7.48E-04,-1.6016004,0.172829
-9.4761357,0.118781,-2.0687005,0.0532684,-8.9422689,0.108215,-1.5348337,0.239693
-9.409369,0.105723,-2.0020005,-0.0748138,-8.8755022,0.0791397,-1.4681337,0.284943
-9.342669,0.0816235,-1.9352338,0.0213089,-8.8088022,0.14502,-1.401367,0.166298
-9.2759023,0.146943,-1.8685338,0.085495,-8.7420355,0.133179,-1.334667,0.120163
-9.2092023,0.108823,-1.8017671,0.0818481,-8.6753355,0.0870895,-1.2679003,0.259407
-9.1424356,0.0970384,-1.7350671,0.0589676,-8.6085688,0.268921,-1.2012003,0.113686
-9.0757356,0.110078,-1.6683004,-0.046524,-8.5418688,0.271706,-1.1344336,0.103088
-9.0089689,0.125552,-1.6016004,0.0769196,-8.4751021,0.0344238,-1.0677336,0.17189
-8.9422689,0.108313,-1.5348337,0.0522079,-8.4084021,0.0936813,-1.0009669,0.178452
-8.8755022,0.0488544,-1.4681337,0.112549,-8.3416354,0.131805,-0.9342669,0.239532
-8.8088022,0.11423,-1.401367,0.0268326,-8.2749354,0.235634,-0.8675002,0.151047
-8.7420355,0.123776,-1.334667,-0.0341187,-8.2081687,0.0839386,-0.8008002,0.252533
-8.6753355,0.0783133,-1.2679003,0.0656815,-8.1414687,0.110535,-0.7340335,0.190056
-8.6085688,0.12036,-1.2012003,0.121727,-8.074702,0.139603,-0.6673335,0.133186
-8.5418688,0.0690502,-1.1344336,0.176567,-8.008002,0.081665,-0.6005668,0.132072
-8.4751021,0.103959,-1.0677336,0.0157471,-7.9412353,0.111961,-0.5338668,0.0840912
-8.4084021,0.0641989,-1.0009669,0.0808792,-7.8745353,0.144424,-0.4671001,0.231232
-8.3416354,0.0886179,-0.9342669,0.0566483,-7.8077686,0.0898743,-0.4004001,0.0733719
-8.2749354,0.0463197,-0.8675002,0.110565,-7.7410686,0.164467,-0.3336334,0.242386
-8.2081687,0.0439741,-0.8008002,0.0225525,-7.6743019,0.0582581,-0.2669334,0.148476
-8.1414687,0.0218642,-0.7340335,0.0168076,-7.6076019,0.0774536,-0.2001667,0.193474
-8.074702,0.104558,-0.6673335,0.0334167,-7.5408352,0.0570221,-0.1334667,0.208679
-8.008002,-0.0114101,-0.6005668,0.0359955,-7.4741352,-0.0792694,-0.0667,0.218925
-7.9412353,0.0199041,-0.5338668,-0.0419006,-7.4073685,0.0548325,0,0.202873
-7.8745353,0.00217354,-0.4671001,-0.0471268,-7.3406685,0.153664,0.0667667,0.0899277
-7.8077686,-0.0364075,-0.4004001,0.00588226,-7.2739018,0.0585022,0.1334667,0.0822144
-7.7410686,-0.0323978,-0.3336334,0.0335236,-7.2072018,-0.0831299,0.2002334,0.120117
-7.6743019,-0.0313661,-0.2669334,-0.0748367,-7.1404351,-0.0436325,0.2669334,0.127739
-7.6076019,0.00700633,-0.2001667,0.00123596,-7.0737351,0.0451965,0.3337001,0.0231628
-7.5408352,-0.0344322,-0.1334667,-0.0912323,-7.0069684,-0.0331955,0.4004001,0.0578461
-7.4741352,-0.0462112,-0.0667,-0.127815,-6.9402684,0.0863266,0.4671668,0.00972748
-7.4073685,-0.0713544,0,-0.0720978,-6.8735017,0.0353699,0.5338668,0.0907211
-7.3406685,-0.0634622,0.0667667,-0.0631256,-6.8068017,0.0228653,0.6006335,0.0499496
-7.2739018,-0.082724,0.1334667,-0.0278625,-6.740035,-0.123299,0.6673335,0.0295563
-7.2072018,-0.0335795,0.2002334,-0.0732193,-6.673335,-0.0261154,0.7341002,0.0046463
-7.1404351,-0.0185877,0.2669334,-0.0514221,-6.6065683,-0.0271912,0.8008002,0.0417023
-7.0737351,0.0453754,0.3337001,0.0213089,-6.5398683,0.112526,0.8675669,0.109795
-7.0069684,-0.042032,0.4004001,0.0924225,-6.4731016,0.0666275,0.9342669,0.0942917
-6.9402684,0.0617973,0.4671668,0.124191,-6.4064016,0.0738525,1.0010336,0.0740891
-6.8735017,0.0995599,0.5338668,0.0569611,-6.3396349,0.116188,1.0677336,-0.00187683
-6.8068017,0.0387217,0.6006335,0.0281448,-6.2729349,0.143738,1.1345003,0.202644
-6.740035,0.131103,0.6673335,0.0191498,-6.2061682,0.119812,1.2012003,0.206085
-6.673335,0.114432,0.7341002,-0.0139999,-6.1394682,0.144707,1.267967,0.183495
-6.6065683,0.169712,0.8008002,0.129341,-6.0727015,0.212021,1.334667,0.255859
-6.5398683,0.186741,0.8675669,0.160133,-6.0060015,0.105553,1.4014337,0.2416
-6.4731016,0.173626,0.9342669,0.0675888,-5.9392348,0.099884,1.4681337,0.259903
-6.4064016,0.21906,1.0010336,5.26E-04,-5.8725348,0.312767,1.5349004,0.22583
-6.3396349,0.272885,1.0677336,0.261909,-5.8057681,0.23156,1.6016004,0.204781
-6.2729349,0.301944,1.1345003,0.167542,-5.7390681,0.274574,1.6683671,0.237251
-6.2061682,0.237599,1.2012003,0.118896,-5.6723014,0.30941,1.7350671,0.265617
-6.1394682,0.295915,1.267967,0.202362,-5.6056014,0.370995,1.8018338,0.334198
-6.0727015,0.261426,1.334667,0.0622711,-5.5388347,0.243454,1.8685338,0.326874
-6.0060015,0.235394,1.4014337,0.133224,-5.4721347,0.233391,1.9353005,0.296715
-5.9392348,0.332914,1.4681337,0.0494919,-5.405368,0.216156,2.0020005,0.378365
-5.8725348,0.245924,1.5349004,0.170891,-5.338668,0.237518,2.0687672,0.390114
-5.8057681,0.227734,1.6016004,0.267914,-5.2719013,0.323708,2.1354672,0.400116
-5.7390681,0.238735,1.6683671,0.238579,-5.2052013,0.207939,2.2022339,0.428116
-5.6723014,0.192646,1.7350671,0.136681,-5.1384346,0.335335,2.2689339,0.418159
-5.6056014,0.241701,1.8018338,0.119446,-5.0717346,0.260246,2.3357006,0.257446
-5.5388347,0.256447,1.8685338,0.164368,-5.0049679,0.192909,2.4024006,0.348053
-5.4721347,0.223468,1.9353005,0.197968,-4.9382679,0.246712,2.4691673,0.301682
-5.405368,0.218802,2.0020005,0.0842285,-4.8715012,0.29454,2.5358673,0.342728
-5.338668,0.238434,2.0687672,0.143867,-4.8048012,0.315681,2.602634,0.398918
-5.2719013,0.241402,2.1354672,0.162315,-4.7380345,0.243164,2.669334,0.227951
-5.2052013,0.20416,2.2022339,0.120796,-4.6713345,0.222237,2.7361007,0.3013
-5.1384346,0.263639,2.2689339,0.0275269,-4.6045678,0.168892,2.8028007,0.235733
-5.0717346,0.127772,2.3357006,0.0129929,-4.5378678,0.230392,2.8695674,0.215118
-5.0049679,0.113845,2.4024006,-0.0427704,-4.4711011,0.0580215,2.9362674,0.0587769
-4.9382679,-0.0352469,2.4691673,-0.18177,-4.4044011,-0.00686646,3.0030341,0.212822
-4.8715012,-0.195284,2.5358673,-0.264664,-4.3376344,-0.0318222,3.0697341,0.076416
-4.8048012,-0.296007,2.602634,-0.263603,-4.2709344,0.00128937,3.1365008,-0.0337219
-4.7380345,-0.311217,2.669334,-0.259636,-4.2041677,-0.0962372,3.2032008,-0.150414
-4.6713345,-0.0203468,2.7361007,-0.149063,-4.1374677,0.00363922,3.2699675,0.0834122
-4.6045678,0.681808,2.8028007,-0.0374222,-4.070701,0.485367,3.3366675,0.164093
-4.5378678,0.90533,2.8695674,0.393433,-4.004001,0.590637,3.4034342,0.388542
-4.4711011,0.772926,2.9362674,0.616516,-3.9372343,0.801254,3.4701342,0.518463
-4.4044011,0.816425,3.0030341,0.758949,-3.8705343,0.741234,3.5369009,0.80291
-4.3376344,0.665007,3.0697341,0.575699,-3.8037676,0.781586,3.6036009,0.613968
-4.2709344,0.674065,3.1365008,0.282898,-3.7370676,0.779854,3.6703676,0.532249
-4.2041677,0.552942,3.2032008,0.332932,-3.6703009,0.603691,3.7370676,0.389191
-4.1374677,0.578013,3.2699675,0.321678,-3.6036009,0.568283,3.8038343,0.368958
-4.070701,0.533643,3.3366675,0.386757,-3.5368342,0.626701,3.8705343,0.200386
-4.004001,0.572564,3.4034342,0.3871,-3.4701342,0.604767,3.937301,0.168694
