Time,Empty,Time,Si_chip,Time,Paper+Si
-10.0100025,0.172594,5.8725348,0.197067,6.4064016,0.0427916
-9.9432358,0.0951226,5.9393015,0.0633926,6.4731683,-0.0174637
-9.8765358,0.133189,6.0060015,0.10067,6.5398683,-0.0217048
-9.8097691,0.106058,6.0727682,0.173088,6.606635,0.0121833
-9.7430691,0.135708,6.1394682,0.122421,6.673335,-0.0171441
-9.6763024,0.0961971,6.2062349,0.122269,6.7401017,-0.0479601
-9.6096024,0.0636385,6.2729349,0.0657501,6.8068017,0.0359514
-9.5428357,0.101489,6.3397016,0.141785,6.8735684,-0.061671
-9.4761357,0.118781,6.4064016,0.0445404,6.9402684,0.0209435
-9.409369,0.105723,6.4731683,0.0376205,7.0070351,0.0234189
-9.342669,0.0816235,6.5398683,0.0163422,7.0737351,-0.0215064
-9.2759023,0.146943,6.606635,0.0985184,7.1405018,0.00711313
-9.2092023,0.108823,6.673335,0.106354,7.2072018,0.0250651
-9.1424356,0.0970384,6.7401017,0.117599,7.2739685,0.0423465
-9.0757356,0.110078,6.8068017,0.116913,7.3406685,0.0477142
-9.0089689,0.125552,6.8735684,0.219124,7.4074352,0.0815049
-8.9422689,0.108313,6.9402684,0.148048,7.4741352,0.0174705
-8.8755022,0.0488544,7.0070351,0.144348,7.5409019,-0.00431483
-8.8088022,0.11423,7.0737351,0.286697,7.6076019,0.0284932
-8.7420355,0.123776,7.1405018,0.196228,7.6743686,0.077847
-8.6753355,0.0783133,7.2072018,0.0911789,7.7410686,0.0466588
-8.6085688,0.12036,7.2739685,0.149338,7.8078353,0.0841982
-8.5418688,0.0690502,7.3406685,0.135048,7.8745353,0.0674626
-8.4751021,0.103959,7.4074352,0.174171,7.941302,0.0982539
-8.4084021,0.0641989,7.4741352,0.0659409,8.008002,0.0564601
-8.3416354,0.0886179,7.5409019,0.199783,8.0747687,0.0768338
-8.2749354,0.0463197,7.6076019,0.0837708,8.1414687,0.0747918
-8.2081687,0.0439741,7.6743686,0.170937,8.2082354,0.0150112
-8.1414687,0.0218642,7.7410686,0.0886612,8.2749354,0.0873268
-8.074702,0.104558,7.8078353,0.092186,8.3417021,0.00474704
-8.008002,-0.0114101,7.8745353,0.106712,8.4084021,0.0361914
-7.9412353,0.0199041,7.941302,0.120651,8.4751688,0.037234
-7.8745353,0.00217354,8.008002,0.119446,8.5418688,0.0268131
-7.8077686,-0.0364075,8.0747687,0.0841217,8.6086355,-0.0651474
-7.7410686,-0.0323978,8.1414687,0.0930862,8.6753355,-0.028478
-7.6743019,-0.0313661,8.2082354,0.0629654,8.7421022,-0.00426737
-7.6076019,0.00700633,8.2749354,0.0561218,8.8088022,-0.0455144
-7.5408352,-0.0344322,8.3417021,0.0576477,8.8755689,-0.014161
-7.4741352,-0.0462112,8.4084021,0.0402985,8.9422689,-0.0470276
-7.4073685,-0.0713544,8.4751688,0.00968933,9.0090356,-0.0516688
-7.3406685,-0.0634622,8.5418688,0.0179977,9.0757356,-0.0846779
-7.2739018,-0.082724,8.6086355,0.00300598,9.1425023,-0.0223651
-7.2072018,-0.0335795,8.6753355,-0.0839615,9.2092023,-0.0208002
-7.1404351,-0.0185877,8.7421022,0.0181503,9.275969,-0.0146595
-7.0737351,0.0453754,8.8088022,0.101608,9.342669,-0.0406545
-7.0069684,-0.042032,8.8755689,0.00834656,9.4094357,0.00593226
-6.9402684,0.0617973,8.9422689,0.0473175,9.4761357,0.0123503
-6.8735017,0.0995599,9.0090356,0.0595779,9.5429024,0.0429221
-6.8068017,0.0387217,9.0757356,0.207947,9.6096024,0.0688349
-6.740035,0.131103,9.1425023,0.126816,9.6763691,0.0965719
-6.673335,0.114432,9.2092023,0.18792,9.7430691,0.117349
-6.6065683,0.169712,9.275969,0.193413,9.8098358,0.115048
-6.5398683,0.186741,9.342669,0.272713,9.8765358,0.122581
-6.4731016,0.173626,9.4094357,0.205696,9.9433025,0.103625
-6.4064016,0.21906,9.4761357,0.24395,10.0100025,0.166415
-6.3396349,0.272885,9.5429024,0.351349,10.0767692,0.207078
-6.2729349,0.301944,9.6096024,0.356544,10.1434692,0.250811
-6.2061682,0.237599,9.6763691,0.292267,10.2102359,0.243889
-6.1394682,0.295915,9.7430691,0.23867,10.2769359,0.252886
-6.0727015,0.261426,9.8098358,0.328575,10.3437026,0.198517
-6.0060015,0.235394,9.8765358,0.281769,10.4104026,0.288463
-5.9392348,0.332914,9.9433025,0.151611,10.4771693,0.192205
-5.8725348,0.245924,10.0100025,0.219856,10.5438693,0.172368
-5.8057681,0.227734,10.0767692,0.295403,10.610636,0.192506
-5.7390681,0.238735,10.1434692,0.288368,10.677336,0.246247
-5.6723014,0.192646,10.2102359,0.125366,10.7441027,0.259988
