Var1,Var2,Var3
80.9077,5.125e-06,9e-06
80.9154,5.5e-06,1e-05
80.9231,5.875e-06,9.375e-06
80.9308,4.375e-06,9.625e-06
80.9385,4.875e-06,9e-06
80.9462,4.875e-06,9.25e-06
80.9539,6.25e-06,1.0375e-05
80.9616,4.5e-06,9.75e-06
80.9693,4e-06,8.5e-06
80.977,4.625e-06,1e-05
80.9847,4.875e-06,9.25e-06
80.9924,4.75e-06,9.75e-06
81.0001,4e-06,8.75e-06
81.0078,3.75e-06,9.75e-06
81.0155,3.875e-06,1e-05
81.0232,4.375e-06,9.375e-06
81.0309,2.25e-06,9.125e-06
81.0386,3.375e-06,8.75e-06
81.0463,2.625e-06,9.5e-06
81.054,2.625e-06,9.25e-06
81.0617,3.375e-06,9.625e-06
81.0694,3.25e-06,9.375e-06
81.0771,3.875e-06,9.625e-06
81.0848,2.875e-06,9e-06
81.0925,2.625e-06,9.375e-06
81.1002,2.625e-06,9.25e-06
81.1079,4e-06,1.0125e-05
81.1156,2.625e-06,9.625e-06
81.1233,2.375e-06,8.875e-06
81.131,2.25e-06,9.875e-06
81.1386,2.375e-06,1e-05
81.1463,3e-06,9.75e-06
81.154,1.625e-06,9.125e-06
81.1617,2.25e-06,1.05e-05
81.1694,2.25e-06,9.75e-06
81.1771,1.125e-06,8.75e-06
81.1848,-2.5e-07,8.25e-06
81.1925,1.25e-06,9e-06
81.2002,1e-06,1.0875e-05
81.2079,-2.5e-07,8e-06
81.2156,1e-06,1.05e-05
81.2233,7.5e-07,9.625e-06
81.231,2.5e-07,9.5e-06
81.2387,-8.75e-07,8.625e-06
81.2464,1.25e-07,1.075e-05
81.2541,5e-07,9.875e-06
81.2618,-2.5e-07,9.25e-06
81.2695,-1.125e-06,1.025e-05
81.2772,-2.5e-07,9.375e-06
81.2849,-2.375e-06,9.5e-06
81.2926,-1.625e-06,9.25e-06
81.3003,-2.125e-06,9.375e-06
81.308,-2.375e-06,9.375e-06
81.3157,-2.875e-06,9.5e-06
81.3234,-2.5e-06,1.0625e-05
81.3311,-3e-06,9.625e-06
81.3388,-3.625e-06,8.75e-06
81.3465,-3.875e-06,7.625e-06
81.3542,-3.875e-06,7.625e-06
81.3619,-4.375e-06,8.875e-06
81.3696,-3.75e-06,1.025e-05
81.3773,-4e-06,1.025e-05
81.385,-4.75e-06,8.75e-06
81.3927,-5.375e-06,8.375e-06
81.4004,-4.75e-06,9e-06
81.4081,-5.375e-06,9.75e-06
81.4158,-5.75e-06,8.125e-06
81.4235,-5.625e-06,1.075e-05
81.4312,-5.75e-06,7.875e-06
81.4389,-6.375e-06,9.625e-06
81.4466,-6.5e-06,1e-05
81.4543,-6.125e-06,9.75e-06
81.462,-7.125e-06,9.375e-06
81.4697,-7.25e-06,9.875e-06
81.4774,-7.5e-06,9.625e-06
81.4851,-6.625e-06,1.0875e-05
81.4928,-8.625e-06,8.75e-06
81.5005,-9.375e-06,1.1375e-05
81.5082,-8.5e-06,9.625e-06
81.5159,-9.25e-06,7.75e-06
81.5236,-1.0375e-05,1.0125e-05
81.5313,-1.05e-05,7.75e-06
81.539,-1.125e-05,1e-05
81.5467,-1.2375e-05,1.0625e-05
81.5544,-1.1375e-05,7.125e-06
81.562,-1.1e-05,9.75e-06
81.5697,-1.3e-05,7.625e-06
81.5774,-1.4125e-05,9.5e-06
81.5851,-1.3125e-05,8.25e-06
81.5928,-1.4125e-05,1.1e-05
81.6005,-1.525e-05,8.125e-06
81.6082,-1.5375e-05,1.0125e-05
81.6159,-1.5e-05,8.5e-06
81.6236,-1.6625e-05,9.375e-06
81.6313,-1.725e-05,9.625e-06
81.639,-1.825e-05,9.125e-06
81.6467,-1.925e-05,1e-05
81.6544,-1.925e-05,8.25e-06
81.6621,-2.05e-05,1.05e-05
81.6698,-2.05e-05,8.25e-06
81.6775,-2.0875e-05,8.375e-06
81.6852,-2.3e-05,8.75e-06
81.6929,-2.4875e-05,1.0375e-05
