Var1,Var2,Var3
80.9077,5.625e-07,NaN
80.9154,-5.625e-07,NaN
80.9231,2.5e-07,NaN
80.9308,-8.75e-07,NaN
80.9385,-1.25e-07,NaN
80.9462,-5.625e-07,NaN
80.9539,-1.8125e-06,NaN
80.9616,-1.25e-07,NaN
80.9693,-2.8125e-06,NaN
80.977,-1.8125e-06,NaN
80.9847,-1.5e-06,NaN
80.9924,-1.8125e-06,NaN
81.0001,-1.875e-06,NaN
81.0078,-1.4375e-06,NaN
81.0155,-1.75e-06,NaN
81.0232,-2e-06,NaN
81.0309,-1.75e-06,NaN
81.0386,-2.125e-06,NaN
81.0463,-2.125e-06,NaN
81.054,-2.9375e-06,NaN
81.0617,-2.875e-06,NaN
81.0694,-3.125e-06,NaN
81.0771,-3.5e-06,NaN
81.0848,-3.75e-06,NaN
81.0925,-4.6875e-06,NaN
81.1002,-3.75e-06,NaN
81.1079,-4.9375e-06,NaN
81.1156,-4.0625e-06,NaN
81.1233,-5.125e-06,NaN
81.131,-5.375e-06,NaN
81.1386,-5.5625e-06,NaN
81.1463,-5.875e-06,NaN
81.154,-4.375e-06,NaN
81.1617,-6e-06,NaN
81.1694,-6.625e-06,NaN
81.1771,-6.1875e-06,NaN
81.1848,-5.4375e-06,NaN
81.1925,-5.875e-06,NaN
81.2002,-7.375e-06,NaN
81.2079,-6.375e-06,NaN
81.2156,-7.9375e-06,NaN
81.2233,-8.125e-06,NaN
81.231,-7.75e-06,NaN
81.2387,-8.5e-06,NaN
81.2464,-9.75e-06,NaN
81.2541,-1e-05,NaN
81.2618,-1.025e-05,NaN
81.2695,-9.6875e-06,NaN
81.2772,-1.04375e-05,NaN
81.2849,-1.05e-05,NaN
81.2926,-1.0625e-05,NaN
81.3003,-1.125e-05,NaN
81.308,-1.1875e-05,NaN
81.3157,-1.225e-05,NaN
81.3234,-1.225e-05,NaN
81.3311,-1.3125e-05,NaN
81.3388,-1.23125e-05,NaN
81.3465,-1.3625e-05,NaN
81.3542,-1.38125e-05,NaN
81.3619,-1.43125e-05,NaN
81.3696,-1.55625e-05,NaN
81.3773,-1.51875e-05,NaN
81.385,-1.575e-05,NaN
81.3927,-1.60625e-05,NaN
81.4004,-1.7e-05,NaN
81.4081,-1.73125e-05,NaN
81.4158,-1.8625e-05,NaN
81.4235,-1.85625e-05,NaN
81.4312,-1.89375e-05,NaN
81.4389,-1.90625e-05,NaN
81.4466,-2.05625e-05,NaN
81.4543,-2.1375e-05,NaN
81.462,-2.19375e-05,NaN
81.4697,-2.1875e-05,NaN
81.4774,-2.325e-05,NaN
81.4851,-2.3625e-05,NaN
81.4928,-2.50625e-05,NaN
81.5005,-2.54375e-05,NaN
81.5082,-2.58125e-05,NaN
81.5159,-2.75e-05,NaN
81.5236,-2.88125e-05,NaN
81.5313,-2.9e-05,NaN
81.539,-2.9125e-05,NaN
81.5467,-2.925e-05,NaN
81.5544,-2.9125e-05,NaN
81.562,-2.975e-05,NaN
81.5697,-3.0125e-05,NaN
81.5774,-2.9375e-05,NaN
81.5851,-2.7e-05,NaN
81.5928,-2.4875e-05,NaN
81.6005,-1.94375e-05,NaN
81.6082,-1.43125e-05,NaN
81.6159,-4e-06,NaN
81.6236,8.75e-06,NaN
81.6313,2.50625e-05,NaN
81.639,4.975e-05,NaN
81.6467,6.775e-05,NaN
81.6544,0.0001088125,NaN
81.6621,0.00015525,NaN
81.6698,0.0002006875,NaN
81.6775,0.0002720625,NaN
81.6852,0.000347875,NaN
81.6929,0.00044125,NaN
81.7006,0.0005498125,NaN
81.7083,0.000657375,NaN
81.716,0.000798125,NaN
81.7237,0.000928315,NaN
81.7314,0.0010590025,NaN
81.7391,0.00118444,NaN
81.7468,0.00126619,NaN
81.7545,0.00131669,NaN
81.7622,0.00129375,NaN
81.7699,0.0012005,NaN
81.7776,0.0009960625,NaN
81.7853,0.0007225625,NaN
81.793,0.0003186875,NaN
81.8007,-0.0001413125,NaN
81.8084,-0.000555625,NaN
81.8161,-0.0010261875,NaN
81.8238,-0.001364875,NaN
81.8315,-0.001545685,NaN
81.8392,-0.001565125,NaN
81.8469,-0.001434875,NaN
81.8546,-0.00115425,NaN
81.8623,-0.0008320625,NaN
81.87,-0.000571875,NaN
81.8777,-0.000375375,NaN
81.8854,-0.0003061875,NaN
81.8931,-0.0003231875,NaN
81.9008,-0.0003728125,NaN
81.9085,-0.000391375,NaN
81.9162,-0.0003523125,NaN
81.9239,-0.0002585,NaN
81.9316,-0.0001503125,NaN
81.9393,-7.7875e-05,NaN
81.947,-6.18125e-05,NaN
81.9547,-9.14375e-05,NaN
81.9624,-0.0001243125,NaN
81.9701,-0.0001300625,NaN
81.9778,-9.7625e-05,NaN
81.9855,-4.9875e-05,NaN
81.9931,-2.21875e-05,NaN
82.0008,-2.75e-05,NaN
82.0085,-5.01875e-05,NaN
82.0162,-6.33125e-05,NaN
82.0239,-4.73125e-05,NaN
82.0316,-4.9375e-06,NaN
82.0393,2.86875e-05,NaN
82.047,3.425e-05,NaN
82.0547,1.14375e-05,NaN
82.0624,-9.1875e-06,NaN
82.0701,-1.125e-05,NaN
82.0778,1.04375e-05,NaN
82.0855,3.55625e-05,NaN
82.0932,4.2875e-05,NaN
82.1009,3.01875e-05,NaN
82.1086,1.44375e-05,NaN
82.1163,1.59375e-05,NaN
82.124,2.43125e-05,NaN
82.1317,2.93125e-05,NaN
82.1394,2.71875e-05,NaN
82.1471,1.95e-05,NaN
82.1548,1.69375e-05,NaN
82.1625,2.18125e-05,NaN
82.1702,2.93125e-05,NaN
82.1779,2.925e-05,NaN
82.1856,2.5125e-05,NaN
82.1933,2.49375e-05,NaN
82.201,2.8375e-05,NaN
82.2087,3.6875e-05,NaN
82.2164,4.01875e-05,NaN
82.2241,3.6875e-05,NaN
82.2318,3.25e-05,NaN
82.2395,3.7375e-05,NaN
82.2472,3.91875e-05,NaN
82.2549,4.34375e-05,NaN
82.2626,4.46875e-05,NaN
82.2703,4.125e-05,NaN
82.278,3.55e-05,NaN
82.2857,4.1e-05,NaN
82.2934,3.775e-05,NaN
82.3011,3.425e-05,NaN
82.3088,3.3375e-05,NaN
82.3165,2.85e-05,NaN
82.3242,2.7125e-05,NaN
82.3319,2.7625e-05,NaN
82.3396,2.73125e-05,NaN
82.3473,2.43125e-05,NaN
82.355,2.2875e-05,NaN
82.3627,1.8875e-05,NaN
82.3704,1.4125e-05,NaN
82.3781,1.04375e-05,NaN
82.3858,6.875e-06,NaN
82.3935,4.5e-06,NaN
