Time,E
-7.0069684,-0.042032
-6.9402684,0.0617973
-6.8735017,0.0995599
-6.8068017,0.0387217
-6.740035,0.131103
-6.673335,0.114432
-6.6065683,0.169712
-6.5398683,0.186741
-6.4731016,0.173626
-6.4064016,0.21906
-6.3396349,0.272885
-6.2729349,0.301944
-6.2061682,0.237599
-6.1394682,0.295915
-6.0727015,0.261426
-6.0060015,0.235394
-5.9392348,0.332914
-5.8725348,0.245924
-5.8057681,0.227734
-5.7390681,0.238735
-5.6723014,0.192646
-5.6056014,0.241701
-5.5388347,0.256447
-5.4721347,0.223468
-5.405368,0.218802
-5.338668,0.238434
-5.2719013,0.241402
-5.2052013,0.20416
-5.1384346,0.263639
-5.0717346,0.127772
-5.0049679,0.113845
-4.9382679,-0.0352469
-4.8715012,-0.195284
-4.8048012,-0.296007
-4.7380345,-0.311217
-4.6713345,-0.0203468
-4.6045678,0.681808
-4.5378678,0.90533
-4.4711011,0.772926
-4.4044011,0.816425
-4.3376344,0.665007
-4.2709344,0.674065
-4.2041677,0.552942
-4.1374677,0.578013
-4.070701,0.533643
-4.004001,0.572564
-3.9372343,0.580283
-3.8705343,0.646806
-3.8037676,0.64468
-3.7370676,0.55956
-3.6703009,-0.00322128
-3.6036009,-0.587083
-3.5368342,-0.996735
-3.4701342,-1.09146
-3.4033675,-1.21836
-3.3366675,-1.09083
-3.2699008,-0.743863
-3.2032008,-0.633475
-3.1364341,-0.681557
-3.0697341,-0.683209
-3.0029674,-0.653196
-2.9362674,-0.646051
-2.8695007,-0.556534
-2.8028007,-0.435742
-2.736034,-0.194634
-2.669334,0.0340483
-2.6025673,0.22057
-2.5358673,0.488503
-2.4691006,0.797254
-2.4024006,1.02708
-2.3356339,1.24571
-2.2689339,1.53012
-2.2021672,1.68301
-2.1354672,1.88368
-2.0687005,1.94838
-2.0020005,2.04192
-1.9352338,2.08021
-1.8685338,2.06918
-1.8017671,2.27281
-1.7350671,2.27349
-1.6683004,2.3167
-1.6016004,2.30695
-1.5348337,2.25457
-1.4681337,1.96526
-1.401367,1.61042
-1.334667,1.2637
-1.2679003,0.907579
-1.2012003,0.695387
-1.1344336,0.547543
-1.0677336,0.389629
-1.0009669,0.135097
-0.9342669,0.0358158
-0.8675002,-0.226067
-0.8008002,-0.544742
-0.7340335,-0.747936
-0.6673335,-1.03749
-0.6005668,-1.28637
-0.5338668,-1.53739
-0.4671001,-1.74191
-0.4004001,-1.95289
-0.3336334,-2.1508
-0.2669334,-2.27576
-0.2001667,-2.34927
-0.1334667,-2.41909
-0.0667,-2.50513
0,-2.45663
0.0667667,-2.24426
0.1334667,-1.41557
0.2002334,-0.34204
0.2669334,0.112438
0.3337001,0.159673
0.4004001,0.326291
0.4671668,0.337848
0.5338668,0.355155
0.6006335,0.305339
0.6673335,0.320121
0.7341002,0.324959
0.8008002,0.154837
0.8675669,-0.246043
0.9342669,-0.900551
1.0010336,-1.98291
1.0677336,-3.76546
1.1345003,-6.76157
1.2012003,-11.6705
1.267967,-21.0619
1.334667,-39.3824
1.4014337,-77.8209
1.4681337,-142.921
1.5349004,-239.475
1.6016004,-331.381
1.6683671,-358.977
1.7350671,-198.907
1.8018338,164.564
1.8685338,333.706
1.9353005,289.627
2.0020005,275.283
2.0687672,224.879
2.1354672,178.742
2.2022339,131.606
2.2689339,92.0242
2.3357006,61.8572
2.4024006,37.0497
2.4691673,19.6359
2.5358673,6.48665
2.602634,-2.94009
2.669334,-9.08901
2.7361007,-11.4553
2.8028007,-9.55067
2.8695674,-7.96812
2.9362674,-9.23171
3.0030341,-9.04344
3.0697341,-9.83794
3.1365008,-11.3325
3.2032008,-11.8725
3.2699675,-12.2254
3.3366675,-12.2779
3.4034342,-11.9704
3.4701342,-11.4782
3.5369009,-11.1825
3.6036009,-10.8939
3.6703676,-10.5169
3.7370676,-10.474
3.8038343,-10.3562
3.8705343,-10.5888
3.937301,-10.697
4.004001,-11.3098
4.0707677,-12.1392
4.1374677,-12.355
