Time,E
0,-2.45663
0.0667667,-2.24426
0.1334667,-1.41557
0.2002334,-0.34204
0.2669334,0.112438
0.3337001,0.159673
0.4004001,0.326291
0.4671668,0.337848
0.5338668,0.355155
0.6006335,0.305339
0.6673335,0.320121
0.7341002,0.324959
0.8008002,0.154837
0.8675669,-0.246043
0.9342669,-0.900551
1.0010336,-1.98291
1.0677336,-3.76546
1.1345003,-6.76157
1.2012003,-11.6705
1.267967,-21.0619
1.334667,-39.3824
1.4014337,-77.8209
1.4681337,-142.921
1.5349004,-239.475
1.6016004,-331.381
1.6683671,-358.977
1.7350671,-198.907
1.8018338,164.564
1.8685338,333.706
1.9353005,289.627
2.0020005,275.283
2.0687672,224.879
2.1354672,178.742
2.2022339,131.606
2.2689339,92.0242
2.3357006,61.8572
2.4024006,37.0497
2.4691673,19.6359
2.5358673,6.48665
2.602634,-2.94009
2.669334,-9.08901
2.7361007,-11.4553
2.8028007,-9.55067
2.8695674,-7.96812
2.9362674,-9.23171
3.0030341,-9.04344
3.0697341,-9.83794
3.1365008,-11.3325
3.2032008,-11.8725
3.2699675,-12.2254
3.3366675,-12.2779
3.4034342,-11.9704
3.4701342,-11.4782
3.5369009,-11.1825
3.6036009,-10.8939
3.6703676,-10.5169
3.7370676,-10.474
3.8038343,-10.3562
3.8705343,-10.5888
3.937301,-10.697
4.004001,-11.3098
4.0707677,-12.1392
4.1374677,-12.355
4.2042344,-12.6397
4.2709344,-12.1834
4.3377011,-10.4785
4.4044011,-8.30178
4.4711678,-5.85686
4.5378678,-3.75888
4.6046345,-2.89926
4.6713345,-3.54881
4.7381012,-5.21918
4.8048012,-6.79733
4.8715679,-7.52645
4.9382679,-7.11696
5.0050346,-6.41417
5.0717346,-6.23801
5.1385013,-6.91633
5.2052013,-7.32188
5.271968,-6.98243
5.338668,-6.73486
5.4054347,-6.51563
5.4721347,-6.5093
5.5389014,-6.52879
5.6056014,-6.29465
5.6723681,-5.69312
5.7390681,-5.26355
5.8058348,-5.31647
5.8725348,-5.11104
5.9393015,-4.81441
6.0060015,-4.59232
6.0727682,-4.37932
6.1394682,-3.9886
6.2062349,-3.37071
6.2729349,-3.19496
6.3397016,-2.77211
6.4064016,-2.34393
6.4731683,-2.03227
6.5398683,-1.57149
6.606635,-1.07176
6.673335,-0.573533
6.7401017,-0.436517
6.8068017,-0.245339
6.8735684,0.297921
6.9402684,0.84435
7.0070351,1.34262
7.0737351,1.28408
7.1405018,1.25038
7.2072018,1.53592
7.2739685,1.62757
7.3406685,1.86686
7.4074352,2.07818
7.4741352,2.09478
7.5409019,1.82441
7.6076019,1.88904
7.6743686,2.28756
7.7410686,2.30917
7.8078353,2.09111
7.8745353,1.94297
7.941302,2.36927
8.008002,2.54914
8.0747687,2.34152
8.1414687,2.21598
8.2082354,2.18712
8.2749354,2.05199
8.3417021,2.02993
8.4084021,1.89285
8.4751688,1.93691
8.5418688,1.91543
8.6086355,1.76258
8.6753355,1.60152
8.7421022,1.53281
8.8088022,1.72563
8.8755689,1.53804
8.9422689,1.51072
9.0090356,1.37003
9.0757356,1.27985
9.1425023,1.27008
9.2092023,1.39922
9.275969,1.52784
9.342669,1.46249
9.4094357,1.07415
9.4761357,0.990938
9.5429024,1.15023
9.6096024,1.18869
9.6763691,1.08498
9.7430691,0.844732
9.8098358,0.697116
9.8765358,0.804473
9.9433025,1.01787
10.0100025,0.909126
10.0767692,0.634707
10.1434692,0.48206
10.2102359,0.385538
10.2769359,0.425663
10.3437026,0.70511
10.4104026,0.614441
10.4771693,0.376053
10.5438693,0.437602
10.610636,0.577277
10.677336,0.584999
10.7441027,0.637655
10.8108027,0.492085
10.8775694,0.215424
10.9442694,0.348323
11.0110361,0.512878
11.0777361,0.310427
11.1445028,0.257613
11.2112028,0.258805
11.2779695,0.328801
11.3446695,0.254252
11.4114362,0.214728
11.4781362,0.350643
11.5449029,0.0769145
11.6116029,-0.0730786
11.6783696,0.0143254
11.7450696,0.0139008
11.8118363,-0.0405476
11.8785363,-0.106394
11.945303,-0.179612
12.012003,-0.411969
12.0787697,-0.272093
12.1454697,-0.121192
12.2122364,-0.161949
12.2789364,-0.066219
12.3457031,-0.334028
12.4124031,-0.337464
12.4791698,-0.212042
12.5458698,-0.186807
12.6126365,-0.287703
12.6793365,-0.362118
12.7461032,-0.230111
12.8128032,-0.37033
12.8795699,-0.391591
12.9462699,-0.149826
13.0130366,-0.0640259
13.0797366,-0.0251422
13.1465033,-0.00667237
13.2132033,0.0290366
13.27997,0.185446
13.34667,0.0556709
13.4134367,0.344725
13.4801367,0.542282
13.5469034,0.384065
13.6136034,0.300529
13.6803701,0.350111
13.7470701,0.385505
13.8138368,0.248977
13.8805368,0.195769
13.9473035,0.0494639
14.0140035,-0.148436
14.0807702,-0.217029
14.1474702,-0.62385
14.2142369,-1.03463
14.2809369,-2.00453
14.3477036,-4.07879
14.4144036,-7.32301
14.4811703,-11.4252
14.5478703,-15.2835
14.614637,-17.9203
14.681337,-14.0543
14.7481037,1.0917
14.8148037,14.8103
14.8815704,15.3531
14.9482704,14.7461
15.0150371,14.2275
15.0817371,12.0553
15.1485038,10.0895
15.2152038,8.19917
15.2819705,7.26762
15.3486705,7.35265
15.4154372,9.09844
15.4821372,11.723
15.5489039,14.71
15.6156039,16.0299
15.6823706,10.8534
15.7490706,-2.66923
15.8158373,-13.0516
15.8825373,-13.1442
15.949304,-13.2629
16.016004,-12.7015
16.0827707,-10.7421
16.1494707,-8.96793
16.2162374,-7.09972
16.2829374,-5.54883
16.3497041,-3.92642
16.4164041,-2.81379
16.4831708,-1.83227
16.5498708,-1.11748
16.6166375,-0.80384
16.6833375,-0.404395
16.7501042,-0.254362
16.8168042,-0.510608
16.8835709,-0.574057
16.9502709,-0.486234
17.0170376,-0.48927
17.0837376,-0.403866
17.1505043,-0.0611479
17.2172043,0.148475
17.283971,-0.0133896
17.350671,-0.122823
17.4174377,-0.140394
17.4841377,0.0346238
17.5509044,0.410614
17.6176044,0.188276
17.6843711,0.0890587
17.7510711,0.235536
17.8178378,0.631945
17.8845378,0.858876
17.9513045,0.738561
18.0180045,0.640549
18.0847712,0.309081
18.1514712,0.114383
18.2182379,0.355119
18.2849379,0.441276
18.3517046,0.235918
18.4184046,-0.015436
18.4851713,-0.18213
18.5518713,-0.0548672
18.618638,-0.158235
18.685338,-0.159805
18.7521047,-0.156276
18.8188047,-0.420596
18.8855714,-0.518114
18.9522714,-0.903024
19.0190381,-1.57667
19.08575144,-3.3786
19.15248479,-6.6333
19.21921814,-13.5279
19.28595149,-24.8521
19.35268484,-37.5107
19.41941819,-42.1097
19.48615154,-24.0857
19.55288489,20.3817
19.61961824,45.8752
19.68635159,36.0066
19.75308494,31.1995
19.81981829,24.7686
19.88655164,18.6132
19.95328499,13.7336
20.02001834,9.13383
20.08675169,6.53747
20.15348504,4.05561
20.22021839,2.63002
20.28695174,1.55657
20.35368509,0.69275
20.42041844,-0.356994
20.48715179,-0.339627
20.55388514,-0.0552979
20.62061849,0.137517
20.68735184,-0.242433
20.75408519,-0.432942
20.82081854,-0.497717
20.88755189,-0.787191
20.95428524,-1.10275
21.02101859,-1.41869
21.08775194,-1.42812
21.15448529,-1.46093
21.22121864,-1.62352
21.28795199,-1.71473
21.35468534,-1.60432
21.42141869,-1.57065
21.48815204,-1.66286
21.55488539,-1.97727
21.62161874,-2.18976
21.68835209,-2.37877
21.75508544,-2.6371
21.82181879,-2.40354
21.88855214,-2.14185
21.95528549,-2.10384
22.02201884,-2.07836
22.08875219,-1.76991
22.15548554,-1.39456
22.22221889,-1.20084
