Time	E,field
-4.55227	3.6E-5
-4.52726	1.8E-5
-4.50225	2.6E-5
-4.47723	1.8E-5
-4.45222	3.6E-5
-4.42721	2E-5
-4.4022	2.2E-5
-4.37718	2.6E-5
-4.35217	2.2E-5
-4.32716	1.2E-5
-4.30214	2.2E-5
-4.27713	1.6E-5
-4.25212	2.8E-5
-4.22711	1.6E-5
-4.2021	3.2E-5
-4.17708	2.8E-5
-4.15207	3.8E-5
-4.12706	3.6E-5
-4.10204	2.2E-5
-4.07703	2.6E-5
-4.05202	3E-5
-4.02701	1.4E-5
-4.00199	8E-6
-3.97698	3E-5
-3.95197	1.2E-5
-3.92696	2.8E-5
-3.90195	2.8E-5
-3.87693	3.4E-5
-3.85192	3E-5
-3.82691	3E-5
-3.8019	3.4E-5
-3.77688	2.8E-5
-3.75187	2.8E-5
-3.72686	3.4E-5
-3.70185	3E-5
-3.67683	2.2E-5
-3.65182	1.8E-5
-3.62681	3.8E-5
-3.6018	4.2E-5
-3.57678	2.8E-5
-3.55177	2E-5
-3.52676	2.8E-5
-3.50175	3.4E-5
-3.47673	3.4E-5
-3.45172	3.4E-5
-3.42671	3.2E-5
-3.4017	3.4E-5
-3.37668	2.4E-5
-3.35167	2.4E-5
-3.32666	3.8E-5
-3.30165	2.8E-5
-3.27663	1.6E-5
-3.25162	3.4E-5
-3.22661	4.2E-5
-3.20159	3.8E-5
-3.17658	4.4E-5
-3.15157	3.2E-5
-3.12656	3.4E-5
-3.10155	3.4E-5
-3.07653	2E-5
-3.05152	3.8E-5
-3.02651	4.2E-5
-3.00149	3.6E-5
-2.97648	3.8E-5
-2.95147	4E-5
-2.92646	4.8E-5
-2.90145	3.4E-5
-2.87643	3.6E-5
-2.85142	3E-5
-2.82641	2.8E-5
-2.8014	3.8E-5
-2.77638	6E-5
-2.75137	5.2E-5
-2.72636	4.2E-5
-2.70135	3.6E-5
-2.67633	2E-5
-2.65132	3.6E-5
-2.62631	4.8E-5
-2.6013	3.4E-5
-2.57628	4.4E-5
-2.55127	4.4E-5
-2.52626	4.8E-5
-2.50124	4.6E-5
-2.47623	5E-5
-2.45122	3E-5
-2.42621	4.4E-5
-2.4012	3.8E-5
-2.37618	3.2E-5
-2.35117	3E-5
-2.32616	3.8E-5
-2.30115	3.6E-5
-2.27613	3.6E-5
-2.25112	3.2E-5
-2.22611	4.2E-5
-2.20109	3.6E-5
-2.17608	3.2E-5
-2.15107	4E-5
-2.12606	3.6E-5
-2.10105	3E-5
-2.07603	3.8E-5
-2.05102	3.4E-5
-2.02601	4E-5
-2.001	3E-5
-1.97598	2.6E-5
-1.95097	3E-5
-1.92596	3.6E-5
-1.90095	2.8E-5
-1.87593	2.8E-5
-1.85092	4.2E-5
-1.82591	1.6E-5
-1.8009	3E-5
-1.77588	2.4E-5
-1.75087	2.6E-5
-1.72586	3.4E-5
-1.70085	3.2E-5
-1.67583	3.2E-5
-1.65082	2E-6
-1.62581	1.8E-5
-1.6008	1.8E-5
-1.57578	2.4E-5
-1.55077	1.4E-5
-1.52576	1E-5
-1.50074	-4E-6
-1.47573	1E-5
-1.45072	1.4E-5
-1.42571	2E-5
-1.4007	1E-5
-1.37568	2E-6
-1.35067	1E-5
-1.32566	1.2E-5
-1.30065	-2E-6
-1.27563	2E-6
-1.25062	-4E-6
-1.22561	-2E-6
-1.2006	-6E-6
-1.17558	-2E-6
-1.15057	-2E-6
-1.12556	1E-5
-1.10055	-1.2E-5
-1.07553	-2E-6
-1.05052	-1.8E-5
-1.02551	-8E-6
-1.0005	4E-6
-0.97548	1.6E-5
-0.95047	1.6E-5
-0.92546	2.8E-5
-0.90044	2.6E-5
-0.87543	4.8E-5
-0.85042	5.8E-5
-0.82541	8.4E-5
-0.80039	1.42E-4
-0.77538	1.52E-4
-0.75037	2.28E-4
-0.72536	2.98E-4
-0.70035	3.84E-4
-0.67533	5.1E-4
-0.65032	6.6E-4
-0.62531	8.46E-4
-0.60029	0.00111
-0.57528	0.00145
-0.55027	0.00178
-0.52526	0.00224
-0.50024	0.00282
-0.47523	0.00356
-0.45022	0.00447
-0.42521	0.00546
-0.40019	0.00657
-0.37518	0.00795
-0.35017	0.00963
-0.32516	0.01166
-0.30014	0.01373
-0.27513	0.01594
-0.25012	0.0184
-0.22511	0.02129
-0.2001	0.0244
-0.17508	0.02769
-0.15007	0.03048
-0.12506	0.03333
-0.10004	0.03612
-0.0750299999999999	0.03873
-0.05002	0.04072
-0.02501	0.04192
0	0.04242
0.02502	0.04201
0.05003	0.04049
0.07504	0.03763
0.10006	0.03381
0.12507	0.02929
0.15008	0.02356
0.17509	0.01655
0.20011	0.00858
0.22512	4.62E-4
0.25013	-0.00692
0.27514	-0.01419
0.30016	-0.02171
0.32517	-0.02843
0.35018	-0.03424
0.37519	-0.03836
0.4002	-0.04123
0.42522	-0.04315
0.45023	-0.04393
0.47524	-0.04336
0.50026	-0.04198
0.52527	-0.03994
0.55028	-0.03726
0.57529	-0.03395
0.6003	-0.03038
0.62532	-0.02696
0.65033	-0.02377
0.67534	-0.02075
0.70035	-0.01768
0.72537	-0.01487
0.75038	-0.01235
0.77539	-0.01035
0.8004	-0.00871
0.82542	-0.00715
0.85043	-0.00572
0.87544	-0.00452
0.90046	-0.00358
0.92547	-0.00283
0.95048	-0.00215
0.97549	-0.00156
1.0005	-0.00107
1.02552	-6.86E-4
1.05053	-4.24E-4
1.07554	-2.24E-4
1.10056	-1.2E-5
1.12557	0
1.15058	3.8E-5
1.17559	3.2E-5
1.2006	4E-6
1.22562	-5.8E-5
1.25063	-1.36E-4
1.27564	-2.26E-4
1.30065	-3.06E-4
1.32567	-3.9E-4
1.35068	-4.78E-4
1.37569	-5.6E-4
1.40071	-6.42E-4
1.42572	-7.1E-4
1.45073	-7.62E-4
1.47574	-8.12E-4
