Time,E
0,0.0386734
0.0667667,-0.104027
0.1334667,-0.0398102
0.2002334,-0.0212631
0.2669334,-0.0468445
0.3337001,-0.068924
0.4004001,-0.140549
0.4671668,-0.047493
0.5338668,-0.0271988
0.6006335,-0.0643158
0.6673335,-0.151367
0.7341002,-0.201797
0.8008002,-0.156258
0.8675669,-0.217773
0.9342669,-0.181412
1.0010336,-0.0392151
1.0677336,0.0299454
1.1345003,-0.133041
1.2012003,-0.00963593
1.267967,-0.0556488
1.334667,-0.0291443
1.4014337,-0.119492
1.4681337,-0.0907898
1.5349004,-0.102089
1.6016004,-0.0825272
1.6683671,-0.101845
1.7350671,-0.0849533
1.8018338,-0.0283279
1.8685338,-0.065155
1.9353005,0.0670624
2.0020005,-0.0784149
2.0687672,-0.155182
2.1354672,-0.0906754
2.2022339,-0.0299606
2.2689339,-0.0305099
2.3357006,0.0603714
2.4024006,-0.201935
2.4691673,-0.0692368
2.5358673,-0.0323334
2.602634,-0.128067
2.669334,-0.12233
2.7361007,-0.0605164
2.8028007,0.0110092
2.8695674,0.056694
2.9362674,0.0384598
3.0030341,0.0195084
3.0697341,0.0436096
3.1365008,0.110397
3.2032008,0.111481
3.2699675,0.125572
3.3366675,0.159966
3.4034342,0.0593414
3.4701342,0.149139
3.5369009,0.0809174
3.6036009,0.0468674
3.6703676,0.136902
3.7370676,0.165024
3.8038343,0.146484
3.8705343,0.185989
3.937301,0.152214
4.004001,0.131294
4.0707677,-0.0040741
4.1374677,0.18412
4.2042344,0.142174
4.2709344,0.092186
4.3377011,0.0616837
4.4044011,0.00330353
4.4711678,0.081543
4.5378678,0.194931
4.6046345,0.186836
4.6713345,0.113403
4.7381012,0.183868
4.8048012,0.186211
4.8715679,0.229813
4.9382679,0.0445786
5.0050346,0.300705
5.0717346,0.235321
5.1385013,0.177689
5.2052013,0.118179
5.271968,0.22448
5.338668,0.17308
5.4054347,0.214478
5.4721347,0.241974
5.5389014,0.199333
5.6056014,0.116806
5.6723681,0.144859
5.7390681,0.154465
5.8058348,0.212791
5.8725348,0.197067
5.9393015,0.0633926
6.0060015,0.10067
6.0727682,0.173088
6.1394682,0.122421
6.2062349,0.122269
6.2729349,0.0657501
6.3397016,0.141785
6.4064016,0.0445404
6.4731683,0.0376205
6.5398683,0.0163422
6.606635,0.0985184
6.673335,0.106354
6.7401017,0.117599
6.8068017,0.116913
6.8735684,0.219124
6.9402684,0.148048
7.0070351,0.144348
7.0737351,0.286697
7.1405018,0.196228
7.2072018,0.0911789
7.2739685,0.149338
7.3406685,0.135048
7.4074352,0.174171
7.4741352,0.0659409
7.5409019,0.199783
7.6076019,0.0837708
7.6743686,0.170937
7.7410686,0.0886612
7.8078353,0.092186
7.8745353,0.106712
7.941302,0.120651
8.008002,0.119446
8.0747687,0.0841217
8.1414687,0.0930862
8.2082354,0.0629654
8.2749354,0.0561218
8.3417021,0.0576477
8.4084021,0.0402985
8.4751688,0.00968933
8.5418688,0.0179977
8.6086355,0.00300598
8.6753355,-0.0839615
8.7421022,0.0181503
8.8088022,0.101608
8.8755689,0.00834656
8.9422689,0.0473175
9.0090356,0.0595779
9.0757356,0.207947
9.1425023,0.126816
9.2092023,0.18792
9.275969,0.193413
9.342669,0.272713
9.4094357,0.205696
9.4761357,0.24395
9.5429024,0.351349
9.6096024,0.356544
9.6763691,0.292267
9.7430691,0.23867
9.8098358,0.328575
9.8765358,0.281769
9.9433025,0.151611
10.0100025,0.219856
10.0767692,0.295403
10.1434692,0.288368
10.2102359,0.125366
10.2769359,0.109734
10.3437026,0.259071
10.4104026,0.31105
10.4771693,0.287277
10.5438693,0.187088
10.610636,0.277191
10.677336,0.292656
10.7441027,0.224915
10.8108027,0.202492
10.8775694,0.165558
10.9442694,0.123764
11.0110361,0.0120621
11.0777361,-0.0338669
11.1445028,-0.0742188
11.2112028,-0.136208
11.2779695,0.267456
11.3446695,0.512848
11.4114362,0.672592
11.4781362,0.574623
11.5449029,0.561012
11.6116029,0.443871
11.6783696,0.510956
11.7450696,0.42144
11.8118363,0.459328
11.8785363,0.444351
11.945303,0.3619
12.012003,0.435913
12.0787697,0.48748
12.1454697,0.56163
12.2122364,0.23455
12.2789364,-0.0327148
12.3457031,-0.416893
12.4124031,-0.656906
12.4791698,-0.912659
