Time,E
-7.0069684,-0.0331955
-6.9402684,0.0863266
-6.8735017,0.0353699
-6.8068017,0.0228653
-6.740035,-0.123299
-6.673335,-0.0261154
-6.6065683,-0.0271912
-6.5398683,0.112526
-6.4731016,0.0666275
-6.4064016,0.0738525
-6.3396349,0.116188
-6.2729349,0.143738
-6.2061682,0.119812
-6.1394682,0.144707
-6.0727015,0.212021
-6.0060015,0.105553
-5.9392348,0.099884
-5.8725348,0.312767
-5.8057681,0.23156
-5.7390681,0.274574
-5.6723014,0.30941
-5.6056014,0.370995
-5.5388347,0.243454
-5.4721347,0.233391
-5.405368,0.216156
-5.338668,0.237518
-5.2719013,0.323708
-5.2052013,0.207939
-5.1384346,0.335335
-5.0717346,0.260246
-5.0049679,0.192909
-4.9382679,0.246712
-4.8715012,0.29454
-4.8048012,0.315681
-4.7380345,0.243164
-4.6713345,0.222237
-4.6045678,0.168892
-4.5378678,0.230392
-4.4711011,0.0580215
-4.4044011,-0.00686646
-4.3376344,-0.0318222
-4.2709344,0.00128937
-4.2041677,-0.0962372
-4.1374677,0.00363922
-4.070701,0.485367
-4.004001,0.590637
-3.9372343,0.801254
-3.8705343,0.741234
-3.8037676,0.781586
-3.7370676,0.779854
-3.6703009,0.603691
-3.6036009,0.568283
-3.5368342,0.626701
-3.4701342,0.604767
-3.4033675,0.467491
-3.3366675,0.536415
-3.2699008,0.600555
-3.2032008,0.337852
-3.1364341,0.208168
-3.0697341,-0.0704498
-3.0029674,-0.451813
-2.9362674,-0.856865
-2.8695007,-0.816856
-2.8028007,-0.880028
-2.736034,-0.737083
-2.669334,-0.782257
-2.6025673,-0.692818
-2.5358673,-0.794891
-2.4691006,-0.698746
-2.4024006,-0.6884
-2.3356339,-0.503685
-2.2689339,-0.502525
-2.2021672,-0.23243
-2.1354672,-0.143509
-2.0687005,0.0467987
-2.0020005,0.224747
-1.9352338,0.46312
-1.8685338,0.770889
-1.8017671,1.15874
-1.7350671,1.20712
-1.6683004,1.28426
-1.6016004,1.45612
-1.5348337,1.68784
-1.4681337,1.70018
-1.401367,1.79012
-1.334667,1.77958
-1.2679003,1.89779
-1.2012003,1.97391
-1.1344336,1.97474
-1.0677336,1.98231
-1.0009669,2.05698
-0.9342669,1.92522
-0.8675002,1.53664
-0.8008002,1.37391
-0.7340335,1.04892
-0.6673335,0.815605
-0.6005668,0.592651
-0.5338668,0.431198
-0.4671001,0.187241
-0.4004001,0.0839233
-0.3336334,-0.106285
-0.2669334,-0.275162
-0.2001667,-0.519852
-0.1334667,-0.698883
-0.0667,-0.937546
0,-1.21818
0.0667667,-1.37469
0.1334667,-1.54449
0.2002334,-1.83044
0.2669334,-2.055
0.3337001,-2.02064
0.4004001,-2.09332
0.4671668,-2.0887
0.5338668,-2.16537
0.6006335,-1.92588
0.6673335,-1.49125
0.7341002,-1.07523
0.8008002,-0.432816
0.8675669,-0.0381851
0.9342669,0.249565
1.0010336,0.400368
1.0677336,0.598152
1.1345003,0.581833
1.2012003,0.501038
1.267967,0.188622
1.334667,-0.129463
1.4014337,-0.659447
1.4681337,-1.26929
1.5349004,-2.30871
1.6016004,-3.82851
1.6683671,-6.47139
1.7350671,-11.1246
1.8018338,-19.6236
1.8685338,-35.3386
1.9353005,-64.2417
2.0020005,-112.06
2.0687672,-172.028
2.1354672,-220.413
2.2022339,-221.006
2.2689339,-149.272
2.3357006,-30.2443
2.4024006,94.6092
2.4691673,193.144
2.5358673,235.593
2.602634,220.579
2.669334,181.436
2.7361007,143.298
2.8028007,112.35
2.8695674,81.6082
2.9362674,55.9469
3.0030341,34.8725
3.0697341,18.4131
3.1365008,9.73666
3.2032008,6.93897
3.2699675,3.16619
3.3366675,-3.17734
3.4034342,-9.00219
3.4701342,-10.4023
3.5369009,-8.41267
3.6036009,-8.02885
3.6703676,-9.59048
3.7370676,-11.8293
3.8038343,-12.7596
3.8705343,-12.7915
3.937301,-11.6809
4.004001,-10.7582
4.0707677,-11.1171
4.1374677,-11.395
4.2042344,-11.1799
4.2709344,-10.4363
4.3377011,-9.79342
4.4044011,-9.80048
4.4711678,-10.4236
4.5378678,-10.6217
4.6046345,-10.5705
4.6713345,-10.5885
4.7381012,-10.7411
4.8048012,-10.7751
4.8715679,-9.98421
4.9382679,-8.65224
