Time,E
-7.0069684,-0.105934
-6.9402684,-0.0350571
-6.8735017,-0.10347
-6.8068017,-0.0929489
-6.740035,-0.122299
-6.673335,-0.0299683
-6.6065683,-0.129532
-6.5398683,-0.13562
-6.4731016,-0.0445251
-6.4064016,0.0854416
-6.3396349,0.0117188
-6.2729349,-0.121986
-6.2061682,-0.0880432
-6.1394682,-0.0602951
-6.0727015,-0.1008
-6.0060015,-0.1064
-5.9392348,-0.101173
-5.8725348,0.0422821
-5.8057681,-0.0337524
-5.7390681,0.00782776
-5.6723014,0.0391998
-5.6056014,0.0134277
-5.5388347,-0.100349
-5.4721347,-0.0512543
-5.405368,-0.063385
-5.338668,0.0918961
-5.2719013,-0.101868
-5.2052013,0.0198898
-5.1384346,0.0466385
-5.0717346,0.0257797
-5.0049679,0.0156174
-4.9382679,0.101334
-4.8715012,0.115677
-4.8048012,0.111771
-4.7380345,-0.0288086
-4.6713345,0.0581665
-4.6045678,0.107018
-4.5378678,0.0508957
-4.4711011,0.172676
-4.4044011,0.165154
-4.3376344,0.0857697
-4.2709344,0.0114059
-4.2041677,0.112518
-4.1374677,0.0571365
-4.070701,0.0940247
-4.004001,0.0540924
-3.9372343,0.0635452
-3.8705343,0.0743561
-3.8037676,0.0280075
-3.7370676,0.0674591
-3.6703009,0.133629
-3.6036009,0.151703
-3.5368342,0.0677948
-3.4701342,0.117111
-3.4033675,0.0343018
-3.3366675,0.0674362
-3.2699008,0.132996
-3.2032008,-0.00504303
-3.1364341,0.107491
-3.0697341,0.0403671
-3.0029674,0.110641
-2.9362674,0.0270386
-2.8695007,0.0613708
-2.8028007,-0.0987549
-2.736034,-0.0847168
-2.669334,-0.00228882
-2.6025673,0.196068
-2.5358673,-0.105125
-2.4691006,-0.0398865
-2.4024006,-0.0260239
-2.3356339,0.0144196
-2.2689339,0.024498
-2.2021672,0.072052
-2.1354672,-0.0561981
-2.0687005,0.0532684
-2.0020005,-0.0748138
-1.9352338,0.0213089
-1.8685338,0.085495
-1.8017671,0.0818481
-1.7350671,0.0589676
-1.6683004,-0.046524
-1.6016004,0.0769196
-1.5348337,0.0522079
