Time,E
-7.0069684,-0.0611801
-6.9402684,-0.00363922
-6.8735017,-0.0807877
-6.8068017,0.0118942
-6.740035,-0.0998154
-6.673335,-0.130371
-6.6065683,-0.196709
-6.5398683,-0.142456
-6.4731016,-0.117622
-6.4064016,-0.021904
-6.3396349,0.045578
-6.2729349,0.0810089
-6.2061682,0.177528
-6.1394682,0.110703
-6.0727015,0.19175
-6.0060015,0.174171
-5.9392348,0.128174
-5.8725348,0.122597
-5.8057681,0.0476837
-5.7390681,0.155403
-5.6723014,0.0974808
-5.6056014,-0.0766525
-5.5388347,0.0585632
-5.4721347,0.0178757
-5.405368,-0.0388641
-5.338668,0.00585175
-5.2719013,0.0498505
-5.2052013,0.0463562
-5.1384346,0.0555496
-5.0717346,0.0700302
-5.0049679,0.154251
-4.9382679,0.109528
-4.8715012,0.00701904
-4.8048012,0.0324402
-4.7380345,0.0542221
-4.6713345,0.159904
-4.6045678,0.324646
-4.5378678,0.268829
-4.4711011,0.258514
-4.4044011,0.132004
-4.3376344,0.191994
-4.2709344,0.228043
-4.2041677,0.168694
-4.1374677,0.267593
-4.070701,0.122887
-4.004001,0.266785
-3.9372343,0.108482
-3.8705343,0.255028
-3.8037676,0.281898
-3.7370676,0.164406
-3.6703009,0.229424
-3.6036009,0.207718
-3.5368342,0.379852
-3.4701342,0.185379
-3.4033675,0.289505
-3.3366675,0.202385
-3.2699008,0.0713806
-3.2032008,0.107307
-3.1364341,0.124825
-3.0697341,0.203049
-3.0029674,0.124352
-2.9362674,0.145905
-2.8695007,0.222366
-2.8028007,0.228226
-2.736034,0.345825
-2.669334,0.298752
-2.6025673,0.232216
-2.5358673,0.345505
-2.4691006,0.249474
-2.4024006,0.2202
-2.3356339,0.210976
-2.2689339,0.218536
-2.2021672,0.331032
-2.1354672,0.177986
-2.0687005,0.273544
-2.0020005,0.426559
-1.9352338,0.296349
-1.8685338,0.307091
-1.8017671,0.328583
-1.7350671,0.33783
-1.6683004,0.199722
