Time	E feild
ps	
	two cards NW
-4.55227	3.2E-5
-4.52726	3E-5
-4.50225	2.2E-5
-4.47723	3.6E-5
-4.45222	3E-5
-4.42721	3E-5
-4.4022	3.2E-5
-4.37718	2.4E-5
-4.35217	2.2E-5
-4.32716	3.2E-5
-4.30214	1.8E-5
-4.27713	1.4E-5
-4.25212	1.2E-5
-4.22711	2.6E-5
-4.2021	3E-5
-4.17708	6E-6
-4.15207	2.4E-5
-4.12706	6E-6
-4.10204	2.8E-5
-4.07703	2.2E-5
-4.05202	-4E-6
-4.02701	8E-6
-4.00199	2E-6
-3.97698	8E-6
-3.95197	1.2E-5
-3.92696	4E-6
-3.90195	8E-6
-3.87693	-1E-5
-3.85192	4E-6
-3.82691	2E-6
-3.8019	4E-6
-3.77688	1.8E-5
-3.75187	6E-6
-3.72686	1.4E-5
-3.70185	8E-6
-3.67683	2E-6
-3.65182	-1E-5
-3.62681	1.2E-5
-3.6018	1.4E-5
-3.57678	1.2E-5
-3.55177	2E-6
-3.52676	8E-6
-3.50175	1E-5
-3.47673	0
-3.45172	1.8E-5
-3.42671	2E-6
-3.4017	4E-6
-3.37668	2E-6
-3.35167	4E-6
-3.32666	2E-5
-3.30165	2.4E-5
-3.27663	6E-6
-3.25162	8E-6
-3.22661	1.2E-5
-3.20159	-2E-6
-3.17658	1E-5
-3.15157	2E-5
-3.12656	1.8E-5
-3.10155	1E-5
-3.07653	2E-5
-3.05152	2.6E-5
-3.02651	8E-6
-3.00149	1.4E-5
-2.97648	2.2E-5
-2.95147	8E-6
-2.92646	8E-6
-2.90145	1.4E-5
-2.87643	1E-5
-2.85142	-2E-6
-2.82641	1.6E-5
-2.8014	1.4E-5
-2.77638	2.2E-5
-2.75137	1.2E-5
-2.72636	6E-6
-2.70135	1.4E-5
-2.67633	2.2E-5
-2.65132	2.2E-5
-2.62631	2.2E-5
-2.6013	6E-6
-2.57628	6E-6
-2.55127	1.6E-5
-2.52626	1.4E-5
-2.50124	4E-6
-2.47623	1.6E-5
-2.45122	2.6E-5
-2.42621	6E-6
-2.4012	1.8E-5
-2.37618	1.2E-5
-2.35117	2.2E-5
-2.32616	2E-5
-2.30115	1.2E-5
-2.27613	1.2E-5
-2.25112	2.2E-5
-2.22611	2.2E-5
-2.20109	-4E-6
-2.17608	1.4E-5
-2.15107	2.2E-5
-2.12606	1.8E-5
-2.10105	2.6E-5
-2.07603	3.2E-5
-2.05102	1.2E-5
-2.02601	2.2E-5
-2.001	3.6E-5
-1.97598	2.4E-5
-1.95097	1.2E-5
-1.92596	2E-5
-1.90095	1.6E-5
-1.87593	2E-5
-1.85092	6E-6
-1.82591	1.8E-5
-1.8009	2.8E-5
-1.77588	2.2E-5
-1.75087	2E-5
-1.72586	1.8E-5
-1.70085	6E-6
-1.67583	2E-5
-1.65082	1.8E-5
-1.62581	1.4E-5
-1.6008	1.4E-5
-1.57578	1.4E-5
-1.55077	3E-5
-1.52576	3.2E-5
-1.50074	1E-5
-1.47573	3.4E-5
-1.45072	3.6E-5
-1.42571	3.4E-5
-1.4007	3.2E-5
-1.37568	4E-5
-1.35067	2.8E-5
-1.32566	1E-5
-1.30065	3E-5
-1.27563	2.6E-5
-1.25062	1.6E-5
-1.22561	2E-5
-1.2006	2E-5
-1.17558	3E-5
-1.15057	3.4E-5
-1.12556	3.2E-5
-1.10055	2E-5
-1.07553	2.6E-5
-1.05052	2.8E-5
-1.02551	2.8E-5
-1.0005	3E-5
-0.97548	1.4E-5
-0.95047	1.6E-5
-0.92546	2.6E-5
-0.90044	1.8E-5
-0.87543	2.6E-5
-0.85042	2E-5
-0.82541	2.6E-5
-0.80039	2.4E-5
-0.77538	2.2E-5
-0.75037	1.6E-5
-0.72536	2.4E-5
-0.70035	3.2E-5
-0.67533	2.8E-5
-0.65032	2E-5
-0.62531	2.2E-5
-0.60029	2.4E-5
-0.57528	3.2E-5
-0.55027	3.8E-5
-0.52526	3.2E-5
-0.50024	2.8E-5
-0.47523	2.4E-5
-0.45022	1.8E-5
-0.42521	1E-5
-0.40019	2.6E-5
-0.37518	1.6E-5
-0.35017	1E-5
-0.32516	2.4E-5
-0.30014	8E-6
-0.27513	8E-6
-0.25012	1.4E-5
-0.22511	6E-6
-0.2001	4E-6
-0.17508	1.4E-5
-0.15007	1.2E-5
-0.12506	1.2E-5
-0.10004	1E-5
-0.0750299999999999	4E-6
-0.05002	-2E-6
-0.02501	-2E-6
0	-2E-6
0.02502	-4E-6
0.05003	-1E-5
0.07504	-2E-6
0.10006	1.4E-5
0.12507	-6E-6
0.15008	8E-6
0.17509	2E-6
0.20011	1.2E-5
0.22512	4E-6
0.25013	4E-5
0.27514	2.6E-5
0.30016	5.8E-5
0.32517	9E-5
0.35018	1.22E-4
0.37519	1.52E-4
0.4002	1.82E-4
0.42522	2.86E-4
0.45023	3.7E-4
0.47524	4.96E-4
0.50026	6.28E-4
0.52527	8.02E-4
0.55028	9.9E-4
0.57529	0.00127
0.6003	0.00161
0.62532	0.00203
0.65033	0.00244
0.67534	0.00295
0.70035	0.00359
0.72537	0.00437
0.75038	0.00527
0.77539	0.00621
0.8004	0.00722
0.82542	0.00844
0.85043	0.00981
0.87544	0.01139
0.90046	0.01287
0.92547	0.01434
0.95048	0.016
0.97549	0.01769
1.0005	0.01942
1.02552	0.02104
1.05053	0.02239
1.07554	0.0236
1.10056	0.02469
1.12557	0.02545
1.15058	0.02589
1.17559	0.02593
1.2006	0.0256
1.22562	0.02482
1.25063	0.02348
1.27564	0.02157
1.30065	0.01945
1.32567	0.01713
1.35068	0.01428
1.37569	0.01087
1.40071	0.00716
1.42572	0.00344
1.45073	1.6E-5
1.47574	-0.00344
1.50075	-0.00711
1.52577	-0.01064
1.55078	-0.01393
1.57579	-0.01653
1.60081	-0.01872
1.62582	-0.02069
1.65083	-0.02225
1.67584	-0.02337
1.70085	-0.02397
1.72587	-0.02417
1.75088	-0.02413
1.77589	-0.02366
1.8009	-0.02282
1.82592	-0.02172
1.85093	-0.02064
1.87594	-0.0194
1.90096	-0.01794
1.92597	-0.01638
1.95098	-0.01485
1.97599	-0.01349
2.00101	-0.01219
2.02602	0
2.05103	0
2.07604	0
2.10106	0
2.12607	0
2.15108	0
2.17609	0
2.20111	0
2.22612	0
2.25113	0
2.27614	0
2.30115	0
2.32617	0
2.35118	0
2.37619	0
2.4012	0
2.42622	0
2.45123	0
2.47624	0
2.50126	0
2.52627	0
2.55128	0
2.57629	0
2.60131	0
2.62632	0
2.65133	0
2.67634	0
2.70135	0
2.72637	0
2.75138	0
2.77639	0
2.80141	0
2.82642	0
2.85143	0
2.87644	0
2.90145	0
2.92647	0
2.95148	0
2.97649	0
3.00151	0
3.02652	0
3.05153	0
3.07654	0
3.10155	0
3.12657	0
3.15158	0
3.17659	0
3.2016	0
3.22662	0
3.25163	0
3.27664	0
3.30165	0
3.32667	0
3.35168	0
3.37669	0
3.4017	0
3.42672	0
3.45173	0
3.47674	0
3.50176	0
3.52677	0
3.55178	0
3.57679	0
3.6018	0
3.62682	0
3.65183	0
3.67684	0
3.70185	0
3.72687	0
3.75188	0
3.77689	0
3.80191	0
3.82692	0
3.85193	0
3.87694	0
3.90195	0
3.92697	0
3.95198	0
3.97699	0
4.002	0
4.02702	0
4.05203	0
4.07704	0
4.10205	0
4.12707	0
4.15208	0
4.17709	0
4.20211	0
4.22712	0
4.25213	0
4.27714	0
4.30216	0
4.32717	0
4.35218	0
4.37719	0
4.4022	0
4.42722	0
4.45223	0
4.47724	0
4.50226	0
4.52727	0
4.55228	0
4.57729	0
4.60231	0
4.62732	0
4.65233	0
4.67734	0
4.70235	0
4.72737	0
4.75238	0
4.77739	0
4.8024	0
4.82742	0
4.85243	0
4.87744	0
4.90245	0
4.92747	0
4.95248	0
4.97749	0
5.0025	0
5.02752	0
5.05253	0
5.07754	0
5.10255	0
5.12757	0
5.15258	0
5.17759	0
5.2026	0
5.22762	0
5.25263	0
5.27764	0
5.30266	0
5.32767	0
5.35268	0
5.37769	0
5.4027	0
5.42772	0
5.45273	0
5.47774	0
5.50275	0
5.52777	0
5.55278	0
5.57779	0
5.6028	0
5.62782	0
5.65283	0
5.67784	0
5.70286	0
5.72787	0
5.75288	0
5.77789	0
5.8029	0
5.82792	0
5.85293	0
5.87794	0
5.90296	0
5.92797	0
5.95298	0
5.97799	0
6.00301	0
6.02802	0
6.05303	0
6.07804	0
6.10305	0
6.12807	0
6.15308	0
6.17809	0
6.2031	0
6.22812	0
6.25313	0
6.27814	0
6.30315	0
6.32817	0
6.35318	0
6.37819	0
6.40321	0
6.42822	0
6.45323	0
6.47824	0
6.50325	0
6.52827	0
6.55328	0
6.57829	0
6.6033	0
6.62832	0
6.65333	0
6.67834	0
6.70335	0
6.72837	0
6.75338	0
6.77839	0
6.80341	0
6.82842	0
6.85343	0
6.87844	0
6.90345	0
6.92847	0
6.95348	0
6.97849	0
7.0035	0
7.02852	0
7.05353	0
7.07854	0
7.10355	0
7.12857	0
7.15358	0
7.17859	0
7.2036	0
7.22862	0
7.25363	0
7.27864	0
7.30366	0
7.32867	0
7.35368	0
7.37869	0
7.40371	0
7.42872	0
7.45373	0
7.47874	0
7.50376	0
7.52877	0
7.55378	0
7.57879	0
7.60381	0
7.62882	0
7.65383	0
